CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1410666E, iMAX,2 MB,SEJ,MARIANO MATAMOROS,VESPERTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SAN MARTIN 10,45620,-103.2797222,20.5930556,ACTIVO
1410666E, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SAN MARTIN 10,45620,-103.2797222,20.5930556,ACTIVO
1410667X, iMAX,2 MB,SEJ,IGNACIO JACOBO MAGA—A,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SAN MARTIN 21 ENTRE ERMITA Y TEPEYAC ,45425,-103.332,20.5925,ACTIVO
1410673F, iMAX,2 MB,SEJ,RAFAEL RAMIREZ,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SANTA CRUZ 205 ,45580,-103.2059,20.3849,ACTIVO
1410675C, iMAX,2 MB,SEJ,VALENTIN GOMEZ FARIAS,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SANTA INES 340 ENTRE SANTA JULIA Y SANTA LAURA ,45590,-103.3369444,20.6075,ACTIVO
1410680G, iMAX,2 MB,SEJ,HEROES MEXICANOS,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SANTIAGO DE LINIERS 1018 ENTRE ICOLAS AVELLANEDA Y BENITO JUAREZ ,45606,-103.4077778,20.6616667,ACTIVO
1410680G, iMAX,2 MB,SEJ,FRANCISCO VILLA,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SANTIAGO DE LINIERS 1018 ENTRE ICOLAS AVELLANEDA Y BENITO JUAREZ ,45606,-103.4077778,20.6616667,ACTIVO
1410681K, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SANTIAGO XICOTENCATL ENTRE CHAPULTEPEC Y CHURUBUSCO ,45618,-103.3388889,20.5711111,ACTIVO
1410681K, iMAX,2 MB,SEJ,JUAN CORDERO,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SANTIAGO XICOTENCATL ENTRE CHAPULTEPEC Y CHURUBUSCO ,45618,-103.3388889,20.5711111,ACTIVO
1410682D, iMAX,2 MB,SEJ,ROBERTO CUELLAR GARCIA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,SOYA ENTRE GARBANZO Y ARROZ  COL. PASEOS DE PRADOS,45610,-103.3860833,20.5647222,ACTIVO
1410684A, iMAX,2 MB,SEJ,AGUSTIN YA—EZ,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,TEAPAN 1422ENTRE MATA REDONDA Y 0,45625,-103.29,20.6113889,ACTIVO
1410694C, iMAX,2 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,"AV ZAPOTLAN ENTRE CERRO DEL CUATRO,COL FOVISTE MIRAVALLE",45599,-103.3517222,20.6066944,ACTIVO
1410702K, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,CALLE ALLENDE S/N COL. STA ANITA,45600,-103.4459722,20.5531944,ACTIVO
1410703D, iMAX,2 MB,SEJ,FRANCISCO ORO—A CALDERON,MATUTINO,ESPECIAL,CENTRO,TLAQUEPAQUE,SANTA ANITA,CATILLA 33 COL. ESPA—A,45600,-103.4489444,20.5576944,ACTIVO
1410703D, iMAX,2 MB,SEJ,USAER FRANCISCO ORO—A CALDERON,MATUTINO,ESPECIAL,CENTRO,TLAQUEPAQUE,SANTA ANITA,CATILLA 33 COL. ESPA—A,45600,-103.4489444,20.5576944,ACTIVO
1410710E, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,OCAMPO 93 COL. SANTA ANITA,45600,-103.4460278,20.5465556,ACTIVO
1410710E, iMAX,2 MB,SEJ,ANA MARIA GARCIA MALDONADO,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,OCAMPO 93 COL. SANTA ANITA,45600,-103.4460278,20.5465556,ACTIVO
1410711X, iMAX,2 MB,SEJ,CAROLINA ESCUDERO GONZALEZ,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,PEDRO MORENO 27 SANTA ANITA,45600,-103.4484722,20.5531944,ACTIVO
1410712B, iMAX,2 MB,SEJ,PONCIANO ARRIAGA,MATUTINO,SECUNDARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,AQUILES SERDAN S/N ,45600,-103.4362222,20.5511944,ACTIVO
1410715C, iMAX,2 MB,SEJ,ANITA CARDENAS MIRANDA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,ROBLE 251 COL. INF. SANTA ANITA.,45600,-103.4211667,20.5499167,ACTIVO
1410715C, iMAX,2 MB,SEJ,BENITO JUAREZ,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,ROBLE 251 COL. INF. SANTA ANITA.,45600,-103.4211667,20.5499167,ACTIVO
1410716G, iMAX,2 MB,SEJ,MARIA DOLORES HERNANDEZ CUEVA,MATUTINO,SECUNDARIA,CENTRO,TLAQUEPAQUE,SANTA ANITA,CEVILLA 100 COL. LA CANDELARIA,45600,-103.4496944,20.5580833,ACTIVO
1410719H, iMAX,2 MB,SEJ,MANUEL ACU—A,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,SAN MARTIN DE LAS FLORES DE ABAJO,AVILA CAMACHO,45620,-103.2851389,20.6054444,ACTIVO
1410720G, iMAX,2 MB,SEJ,CUAUHTEMOC,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SAN MARTIN DE LAS FLORES DE ABAJO,CUAUHTEMOC 13 ,45620,-103.29075,20.604,ACTIVO
1410722D, iMAX,2 MB,SEJ,20 DE OVIEMBRE,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SAN MARTIN DE LAS FLORES DE ABAJO,EMILIANO ZAPATA 1321 ENTRE 5 DE MAYO Y PRIV EMILIANO ZAPATA ,45620,-103.2891,20.5958,ACTIVO
1410724A, iMAX,2 MB,SEJ,LAZARO CARDENAS,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,SAN MARTIN DE LAS FLORES DE ABAJO,COL. SAN MARTIN 80 ,45620,-103.2803333,20.5913333,ACTIVO
1410727B, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,LAS LIEBRES,ADOLFO LOPEZ MATEOS 280,45590,-103.3115556,20.5880556,ACTIVO
1410729J, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,LAS LIEBRES,VICENTE GUERRERO S/N COL. LAS LIEBRES SEGUNDA SECCION,45623,-103.305,20.9913889,ACTIVO
1410730X, iMAX,2 MB,SEJ,NI—O ARTILLERO,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,FRACCIONAMIENTO OJO DE AGUA,AGUA ALCALINA SN FRACC. OJO DE AGUA,45600,-103.4351944,20.5587778,ACTIVO
1410732F, iMAX,2 MB,SEJ,JOSE MA PINO SUAREZ,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,AVENIDA JESUS ENTRE SAN PEDRO Y SAN CARLOS ,45615,-103.3572222,20.5686111,ACTIVO
1410733J, iMAX,2 MB,SEJ,CECYTEJ 2,MATUTINO,BACHILLERATO,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PASEO DE LA MISERICORDIA 3 ENTRE PASEO LOPEZ COTILLA Y PASEO EMILIANO ZAPATA ,45610,-103.356,20.5658,ACTIVO
1410734C, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PRIVADA SAN CARLOS 400 B,45590,-103.3481667,20.5578611,ACTIVO
1410735G, iMAX,2 MB,SEJ,JUANA DE ASBAJE,VESPERTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,EL SAUZ,AVENIDA TORRES BODET 3259 ENTRE ISLA GOMERA Y ISLA ZANZIBAR ,45608,-103.3940889,20.6230833,ACTIVO
1410735G, iMAX,2 MB,SEJ,IDOLINA GAONA DE COSIO,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,EL SAUZ,AVENIDA TORRES BODET 3259 ENTRE ISLA GOMERA Y ISLA ZANZIBAR ,45608,-103.3940889,20.6230833,ACTIVO
1410736K, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,VESPERTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLA GOMERA 2989,45608,-103.3961389,20.6201111,ACTIVO
1410736K, iMAX,2 MB,SEJ,LOPEZ COTILLA,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLA GOMERA 2989,45608,-103.3961389,20.6201111,ACTIVO
1410737D, iMAX,2 MB,SEJ,MA HELENA COSIO VIDAURRI,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLA GOMERA 4351,45608,-103.3945278,20.6229444,ACTIVO
1410738H, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,VESPERTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLA MEXIANA 2964,45608,-103.3927778,20.6197222,ACTIVO
1410738H, iMAX,2 MB,SEJ,ADOLFO LOPEZ MATEOS,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLA MEXIANA 2964,45608,-103.3927778,20.6197222,ACTIVO
1410739A, iMAX,2 MB,SEJ,1 DE MAYO,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLAS BALTICAS ENTER AHUEHUETES Y ISLAS MARACAS ,45608,-103.3983056,20.6218333,ACTIVO
1410740K, iMAX,2 MB,SEJ,TOMAS ESCOBEDO BARBA,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,EL SAUZ,ISLAS MARACAS,45608,-103.39775,20.6220278,ACTIVO
1410743A, iMAX,2 MB,SEJ,ESC. SEC. TEC. 153,MATUTINO,SECUNDARIA,CENTRO,TONALA,TONALA,"ANDADOR GOMEZ FARIAS 11, COL. BACILO PADILLA",45400,-103.2488,20.6556,ACTIVO
1410745X, iMAX,2 MB,SEJ,J JESUS MARTINEZ DIAZ,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"ALDAMA 250,COL. LOMA BONITA",45405,-103.2518,20.6573,ACTIVO
1410746B, iMAX,2 MB,SEJ,NARCISO MENDOZA,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,ALDAMA 370,45400,-103.2519167,20.6570278,ACTIVO
1410752J, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,ANDRES BELLO 29 COL.BASILIO BADILLO,45406,-103.2511,20.6492,ACTIVO
1410755K, iMAX,2 MB,SEJ,RAMON CORONA,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,ARCELIA SEVILLA ENTRE DELICIA Y MARCOS LARA,45400,-103.2452778,20.5941667,ACTIVO
1410755K, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,ARCELIA SEVILLA ENTRE DELICIA Y MARCOS LARA,45400,-103.2452778,20.5941667,ACTIVO
1410757H, iMAX,2 MB,SEJ,MOCTEZUMA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,REY ATETELCO 40 ,45402,-103.2502528,20.6002667,ACTIVO
1410759E, iMAX,2 MB,SEJ,AGUSTIN MELGAR,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,ATOTONILCO EL ALTO 191,45400,-103.2628889,20.68575,ACTIVO
1410761H, iMAX,2 MB,SEJ,RAMON GARCIA RUIZ,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA ARROYO SECO 511,45416,-103.2605556,20.6722222,ACTIVO
1410762A, iMAX,2 MB,SEJ,FERNANDO MONTES DE OCA,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA AZTLAN 101,45400,-103.30675,20.6095278,ACTIVO
1410763E, iMAX,2 MB,SEJ,RAFAEL RAMIREZ,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,JOSE ALVAREZ FRANCO 61,45400,-103.2518889,20.5848333,ACTIVO
1410766F, iMAX,2 MB,SEJ,ESC. SEC. TEC. O. 85,MATUTINO,SECUNDARIA,CENTRO,TONALA,TONALA,"AVENIDA DE LAS MARGARITAS ENTRE ALTAMIRA	 Y JAZMIN,COL ALTAMIRA",45400,-103.2347167,20.6298333,ACTIVO
1410767J, iMAX,2 MB,SEJ,JUVENTINO ROSAS,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA DEL CARRIL 895,45402,-103.2460556,20.5955556,ACTIVO
1410767J, iMAX,2 MB,SEJ,TLAMACHTILKALLI,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA DEL CARRIL 895,45402,-103.2460556,20.5955556,ACTIVO
1410774K, iMAX,2 MB,SEJ,TATA LAZARO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,AVENIDA LAZARO CARDENAS COL. JAUJA,45400,-103.2255556,20.5816667,ACTIVO
1410780H, iMAX,2 MB,SEJ,ROSAURA ZAPATA CANO,MIXTO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA ZALATITANENTRE FRANCISCO I MADERO Y 0,45400,-103.2538611,20.6423056,ACTIVO
1410782E, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,BATALLA DE PUEBLA 174,45400,-103.2763889,20.6502778,ACTIVO
1410784B, iMAX,2 MB,SEJ,BENITO JUAREZ,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,BENITO JUAREZ 42,45400,-103.2303333,20.5980278,ACTIVO
1410784B, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,BENITO JUAREZ 42,45400,-103.2303333,20.5980278,ACTIVO
1410788G, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,"CANARIO 19,COL. PINAR DE LAS PALOMAS ",45400,-103.2375,20.6643,ACTIVO
1410791C, iMAX,2 MB,SEJ,QUETZALCOATL,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,CERAMICA 290,45400,-103.2312778,20.6305556,ACTIVO
1410792G, iMAX,2 MB,SEJ,FRANCISCO GABILONDO SOLER,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,CIHUALPILLIENTRE KUKULCAN Y CHICHIMECAS,45400,-103.2747222,20.6258333,ACTIVO
1410798X, iMAX,2 MB,SEJ,TONALA,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,COLONENTRE MOCTEZUMA Y ITURBIDE,45400,-103.2386111,20.6190833,ACTIVO
1410799B, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,CONSTITUCION ENTRE CUHACTEMO Y ALVARO OBREGON,45400,-103.2658333,20.6251389,ACTIVO
1410803E, iMAX,2 MB,SEJ,ENRIQUE PESTALOZZI,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,CONSTITUCION 85,45410,-103.2761111,20.6308333,ACTIVO
1410804X, iMAX,2 MB,SEJ,JOSE MARIA LUIS MORA,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,TORRES QUINTERO 15,45400,-103.2691667,20.6516667,ACTIVO
1410807J, iMAX,2 MB,SEJ,LAZARO CARDENAS,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,CRUZ BLANCA 167,45400,-103.24725,20.6201944,ACTIVO
1410808C, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,CUAUHTEMOC 225 ,45400,-103.2372222,20.6236111,ACTIVO
1410809G, iMAX,2 MB,SEJ,IRENE ROBLEDO GARCIA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,DIENTE DE LEON O.6704 COL. TULIPANES,45413,-103.2387,20.6813,ACTIVO
1410811J, iMAX,2 MB,SEJ,FRANCISCO VILLA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,DOROTEO ARANGO 1 ,45400,-103.2562778,20.6187222,ACTIVO
1410818E, iMAX,2 MB,SEJ,GUADALAJARA,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,"FLOR DE LOTO 450,COL CONSTANCIO HERNADEZ",45405,-103.2511111,20.6641667,ACTIVO
1410823X, iMAX,2 MB,SEJ,JOSE LUIS RICO MERCADO,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,FRESNO 252 ,45400,-103.2730556,20.6397222,ACTIVO
1410825F, iMAX,2 MB,SEJ,ALFREDO V BONFIL,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,GUAYABO 125 ,45400,-103.4272222,20.8558333,ACTIVO
1410827C, iMAX,2 MB,SEJ,RAFAEL JIMENEZ,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,HIDALGO  2 SAN GASPAR,45400,-103.2522222,20.6811111,ACTIVO
1410828G, iMAX,2 MB,SEJ,MA GUADALUPE CASTANEDA TORRES,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,HIDALGO,45400,-103.2694444,20.6622222,ACTIVO
1410830J, iMAX,2 MB,SEJ,CHAPULTEPEC,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,HIDALGO 331,45400,-103.2406944,20.6313889,ACTIVO
1410833K, iMAX,2 MB,SEJ,FRANCISCO MARQUEZ,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,HUERTAS 98,45400,-103.2677778,20.6547222,ACTIVO
1410836A, iMAX,2 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"INDEPENDENCIA 35, SAN GASPAR",45400,-103.2508333,20.6827778,ACTIVO
1410840A, iMAX,2 MB,SEJ,CUAUHTEMOC,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,JAZMIN 1125,45400,-103.2240278,20.5858056,ACTIVO
1410841E, iMAX,2 MB,SEJ,ANAHUAC,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,JILOTLAN DE LOS DOLORES 176,45400,-103.2618056,20.6798056,ACTIVO
1410842X, iMAX,2 MB,SEJ,AMADO ERVO,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,ALVARO OBREGON 5,45426,-103.2395278,20.5906944,ACTIVO
1410842X, iMAX,2 MB,SEJ,JULIO VERNE,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,ALVARO OBREGON 5,45426,-103.2395278,20.5906944,ACTIVO
1410844F, iMAX,2 MB,SEJ,DAVID ALFARO SIQUEIROS,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"JOSEFA ORTIZ 2,CRUZA LOMA BONITA. ",45400,-103.2583,20.654,ACTIVO
1410845J, iMAX,2 MB,SEJ,CRISTOBAL COLON,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,JUAN ALVAREZ 421,45400,-103.2489722,20.6315833,ACTIVO
1410847G, iMAX,2 MB,SEJ,CIHUALPILLI,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,JUAREZ 18,45400,-103.2416111,20.6241111,ACTIVO
1410853D, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,"LAZARO CARDENAS 211,COL EDUCADORES",45400,-103.2605556,20.6380556,ACTIVO
1410858B, iMAX,2 MB,SEJ,IDOLINA GAONA DE COSIO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"LOMA ALLENDE S/N, TONALA ",45402,-103.2611111,20.6375,ACTIVO
1410860E, iMAX,2 MB,SEJ,RITA PEREZ DE MORENO,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,LOMA APAZULCO 74,45418,-103.25375,20.6311667,ACTIVO
1410861X, iMAX,2 MB,SEJ,MARIA MAGDALENA VIDAURRI,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"LOMA ARANDAS SUR 9080,COL. LOMA DORADA",45418,-103.2572222,20.6394444,ACTIVO
1410866G, iMAX,2 MB,SEJ,TLAMATINI,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,LOMA COPALA 477,45418,-103.2599722,20.6357222,ACTIVO
1410877B, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,LOMA PERIBAN 8499 ,45418,-103.2565,20.6227222,ACTIVO
1410883J, iMAX,2 MB,SEJ,MIGUEL ALEMAN VALDES,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,LOMA TECALITLAN SUR ,45410,-103.2595,20.6298889,ACTIVO
1410885G, iMAX,2 MB,SEJ,NI—OS HEROES,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,MADERO 12,45402,-103.266,20.6218056,ACTIVO
1410890K, iMAX,2 MB,SEJ,JOSE MARTI,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,MARCOS LARA 15  COL. GIGANTERA,45400,-103.2428611,20.5997222,ACTIVO
1410891D, iMAX,2 MB,SEJ,MEXICO,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,MARCOS LARA 20,45400,-103.2426944,20.5999167,ACTIVO
1410891D, iMAX,2 MB,SEJ,MEXICO,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,MARCOS LARA 20,45400,-103.2426944,20.5999167,ACTIVO
1410895X, iMAX,2 MB,SEJ,LUIS GARCIA AVARRO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"MELQUIADES PRECIADO PARTIDA 1,COL LA LADRILLERA",45428,-103.2305556,20.5980833,ACTIVO
1410898J, iMAX,2 MB,SEJ,JOSE GONZALEZ TORRES,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"MISION SAN FRANCISCO 155,COL.MISON DE SAN FRANCISCO",45406,-103.2496,20.6612,ACTIVO
1410900E, iMAX,2 MB,SEJ,MELCHOR OCAMPO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"RIO TIBE,COL SILLITA",45400,-103.2416667,20.6175,ACTIVO
1410905C, iMAX,2 MB,SEJ,JOSEFA ORTIZ DE DOMINGUEZ,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,NATURALEZA 261ENTRE METEOROLOGIA Y DUNAS,45400,-103.2877778,20.6375,ACTIVO
1410906G, iMAX,2 MB,SEJ,EMILIANO ZAPATA,VESPERTINO,PRIMARIA,CENTRO,TONALA,TONALA,OBREGON 278 ,45400,-103.2658333,20.6251389,ACTIVO
1410907K, iMAX,2 MB,SEJ,FRANCISCO MARQUEZ,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"OJUELOS 5, COL JALISCO",45400,-103.2594444,20.685,ACTIVO
1410908D, iMAX,2 MB,SEJ,JUAN DE LA BARRERA,VESPERTINO,PRIMARIA,CENTRO,TONALA,SAN FRANCISCO DE LA SOLEDAD (SAN FRANCISCO),PASEO DEL ACANTILADO SN TV ,45400,-103.1955556,20.5675,ACTIVO
1410908D, iMAX,2 MB,SEJ,MANUEL MARTINEZ VALADEZ,MATUTINO,PRIMARIA,CENTRO,TONALA,SAN FRANCISCO DE LA SOLEDAD (SAN FRANCISCO),PASEO DEL ACANTILADO SN TV ,45400,-103.1955556,20.5675,ACTIVO
1410912D, iMAX,2 MB,SEJ,NI—O ARTILLERO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,PINO SUAREZ 15 ENTRE PEDRO MORENO Y VENUSTIANO CARRANZA ,45400,-103.2422222,20.6233333,ACTIVO
1410914A, iMAX,2 MB,SEJ,LEONA VICARIO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,PRADOS DEL CENIT 100 ENTRE PRADOS DEL ALBA Y PRADOS DE LA AURORA ,45400,-103.2311111,20.6263889,ACTIVO
1410915E, iMAX,2 MB,SEJ,JAIME UNO,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,PRISCILIANO SANCHEZ 172ENTRE BENITO JUAREZ Y PERIFERICO,45408,-103.2429444,20.6796667,ACTIVO
1410917B, iMAX,2 MB,SEJ,PRISCILIANO SANCHEZ,VESPERTINO,SECUNDARIA,CENTRO,TONALA,TONALA,PRIVADA HIDALGO 81 ENTRE PROLONGACION CEREZO Y PARAISO ,45410,-103.2753056,20.6251944,ACTIVO
1410919J, iMAX,2 MB,SEJ,GREGORIO TORRES QUINTERO,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,"PRIVADA REFORMA 12,COL LA ORTALIZA",45400,-103.2415361,20.6525139,ACTIVO
1410920X, iMAX,2 MB,SEJ,CAM TONALA,VESPERTINO,ESPECIAL,CENTRO,TONALA,TONALA,CEMPASUCHIL 182 ENTRE DE LAS AMERICAS Y UNICORNIO ,45410,-103.2786944,20.6158333,ACTIVO
1410921B, iMAX,2 MB,SEJ,ANDRES QUINTANA ROO,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,PRIVADA ROSALES 15,45418,-103.2696667,20.6303056,ACTIVO
1410926K, iMAX,2 MB,SEJ,AGUSTIN RIVERA Y SANROMAN,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,PROLONGACION RAMON VILLALOBOS TIJELINO  COL EDUCADORES JALISCIENSES,45404,-103.2489,20.638,ACTIVO
1410931D, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,REFORMA 23 ,45402,-103.265,20.6206667,ACTIVO
1410933A, iMAX,2 MB,SEJ,CUAUHTEMOC,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,RETORNO LOMA PIHUAMO 7856,45418,-103.263037,20.631588,ACTIVO
1410934E, iMAX,2 MB,SEJ,PABLO MONTESINO,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,RETORNO LOMA TALA ORTE 8142,45400,-103.2589722,20.6298056,ACTIVO
1410935X, iMAX,2 MB,SEJ,NETZAHUALCOYOTL,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,REVOLUCION 155,45400,-103.2518611,20.6235556,ACTIVO
1410938J, iMAX,2 MB,SEJ,JOSE PEREZ CONTRERAS,MATUTINO,PRIMARIA,CENTRO,TONALA,TONALA,SAN JULIAN 105  COL. JALISCO,45412,-103.2691667,20.6891667,ACTIVO
